title,singer,album,producer,distributor,year_month,is_popular,external_factors,num_times_top_10,num_times_top_5,num_times_top_1
Please Don`t Go,"CL, 민지 (2NE1)",Please Don`t Go,YG Entertainment,Stone Music Entertainment,201001,0,0,0,0,0
Please Don`t Go My Girl (Feat. 김조한),하우두유둘 (유재석 & 유희열),무한도전 자유로 가요제,MBC,지니뮤직,201311,1,0,1,1,0
Poison,Beyonce,I Am... Sasha Fierce (The Bonus Tracks...,Sony Music,Sony Music,201002,0,0,0,0,0
Poison,시크릿 (Secret),Poison,TS엔터테인먼트,카카오 M,201209-201210,1,0,1,0,0
Poison,엄정화,Invitation,-,한국음반산업협회,201501,1,0,0,0,0
Poker Face (Lady GaGa),투개월,슈퍼스타K3 TOP 11 Part 2,Stone Music Entertainment,Stone Music Entertainment,201110,1,0,0,0,0
Power,EXO,The Power Of Music - The 4th Album Rep...,SM Entertainment,지니뮤직,201709,1,0,1,1,0
Power Up,레드벨벳(Red Velvet),Summer Magic - Summer Mini Album,SM Entertainment,Dreamus,201808-201809-201810,1,0,2,1,0
Press Your Number,태민 (TAEMIN),Press It - The 1st Album,SM Entertainment,지니뮤직,201602-201603,0,0,0,0,0
Problem (Feat. Iggy Azalea),Ariana Grande,Problem,"Republic Records, a division of UMG Recordings,Inc",Universal Music,201412-201501-201502,1,0,1,0,0
Promise,소녀시대,4집 I Got A Boy,SM Entertainment,지니뮤직,201301,0,0,0,0,0
Psycho,레드벨벳(Red Velvet),`The ReVe Festival` Finale,SM Entertainment,Dreamus,201912-202001-202002-202003-202004-202005-202006-202007-202008,1,0,2,2,0
Punch Drunk Love,샤이니 (SHINee),SHINee The 3rd Album Chapter 1. `Dream...,SM Entertainment,지니뮤직,201302,0,0,0,0,0
Push Push,씨스타 (Sistar),Push Push,스타쉽엔터테인먼트,카카오 M,201006-201007,1,0,0,0,0
Puss (Prod.by 라이머),"지민, 아이언",언프리티 랩스타 SEMI FINAL,Stone Music Entertainment,Stone Music Entertainment,201503-201504-201505,1,0,2,2,0
Q&A,"세븐틴, 에일리",Q&A,플레디스,카카오 M,201512,0,0,0,0,0
R U Ridin`?,백현 (BAEKHYUN),Delight - The 2nd Mini Album,SM Entertainment,Dreamus,202006,0,0,0,0,0
R.O.D.,G-Dragon,쿠데타 (COUP D`ETAT),YG Entertainment,지니뮤직,201309,1,0,0,0,0
RBB (Really Bad Boy),레드벨벳(Red Velvet),RBB - The 5th Mini Album,SM Entertainment,Dreamus,201812,1,0,0,0,0
RE-BYE,악동뮤지션 (AKMU),사춘기 상 (思春記 上),YG Entertainment,지니뮤직,201605-201606,1,0,1,1,0
REALLY REALLY,WINNER,FATE NUMBER FOR,YG Entertainment,지니뮤직,201704-201705-201706-201707,1,0,2,1,0
REMEDY (Feat. 청하 (CHUNG HA)),창모 (CHANGMO),Boyhood,앰비션뮤직,"지니뮤직, Stone Music Entertainment",201912-202001,0,0,0,0,0
RICH (Feat. 태양),에픽하이 (Epik High),신발장,YG Entertainment,지니뮤직,201411,0,0,0,0,0
ROXANNE,Arizona Zervas,ROXANNE,Arizona Zervas,Sony Music,202008,0,0,0,0,0
RUN,방탄소년단,화양연화 pt.2,빅히트 엔터테인먼트,카카오 M,201511,0,0,0,0,0
Rain,태연 (TAEYEON),태연 `Rain`,SM Entertainment,지니뮤직,201602-201603,1,0,1,1,0
Rain Drop,아이유 (IU),잔소리,카카오 M,카카오 M,201006,0,0,0,0,0
Rain Man (Feat. 강현정 Of 버블시스터즈),장우혁,신이라 불리운 사나이 OST,카카오 M,카카오 M,201003,0,0,0,0,0
Rain On Me,"Lady Gaga, Ariana Grande",Rain On Me,Interscope Records,Universal Music,202007,0,0,0,0,0
Rainy,브라운 아이드 소울 (Brown Eyed Soul),Browneyed Soul,인넥스트 트렌드,Stone Music Entertainment,201011,0,0,0,0,0
Ready Gaga (Feat. 정유진),슈프림팀 & 영준 (브라운아이드소울),Ames Room (EP),카카오 M,카카오 M,201010,0,0,0,0,0
Really,BLACKPINK,SQUARE UP,YG Entertainment,지니뮤직,201807,0,0,0,0,0
Red Light,f(x),The 3rd Album `Red Light`,SM Entertainment,지니뮤직,201407,1,0,1,0,0
Red Queen (feat. Zion.T),아이유 (IU),CHAT-SHIRE,로엔트리,카카오 M,201510,1,0,0,0,0
"Red Sun (Feat. ZICO, Swings)",행주,쇼미더머니 6 Episode 4,Stone Music Entertainment,Stone Music Entertainment,201709,1,0,0,0,0
Remember,에이핑크 (Apink),Pink MEMORY,플레이엠엔터테인먼트,카카오 M,201507-201508,1,0,0,0,0
Replay,김동률,KimdongrYULE,뮤직팜,카카오 M,201111,1,0,0,0,0
Reset (Feat. 진실 of Mad Soul Child),타이거 JK,후아유 - 학교 2015 OST Part 1,"Stone Music Entertainment, 심엔터테인먼트",Stone Music Entertainment,201507,0,0,0,0,0
Return (With 육지담),웬디 (레드벨벳),후아유 - 학교 2015 OST Part 7,"Stone Music Entertainment, 심엔터테인먼트",Stone Music Entertainment,201506,0,0,0,0,0
Rewind,더블 케이 (Double K),Rewind,KO사운드 & Stone Music Entertainment,Stone Music Entertainment,201305,0,0,0,0,0
Right Now,싸이 (Psy),5집 PsyFive (싸이파이브),YG Entertainment,지니뮤직,201010-201011,1,0,1,0,0
Right There,신지훈,Right There,큐브디씨,카카오 M,201310,0,0,0,0,0
Right? (Feat. 소유),프라이머리 (Primary),Pop,아메바컬쳐,카카오 M,201709,0,0,0,0,0
Ring My Bell,수지,함부로 애틋하게 OST Part.1,"삼화네트웍스,iHQ,가지컨텐츠",카카오 M,201607,1,0,0,0,0
Roller Coaster,청하,Offset,MNH Entertainment,Stone Music Entertainment,201802-201803-201804-201805,1,0,2,0,0
Rollercoaster (Feat. Sugar Flow),허밍 어반 스테레오 (Humming Urban Stereo),Rollercoaster,노트뮤직,NHN벅스,201306,0,0,0,0,0
Rolling In The Deep,Adele,21,XL Recordings,강앤뮤직,201109-201205,0,0,0,0,0
Roly-Poly,티아라 (T-ara),존트라볼타 워너비,코어컨텐츠미디어,카카오 M,201107-201108,1,0,1,1,0
Roly-Poly in 코파카바나,티아라 (T-ara),Roly-Poly in 코파카바나,코어컨텐츠미디어,카카오 M,201108,0,0,0,0,0
Romantico,투개월,슈퍼스타K3 TOP 11 Part 6,Stone Music Entertainment,Stone Music Entertainment,201111,1,0,0,0,0
Rookie,레드벨벳(Red Velvet),Rookie - The 4th Mini Album,SM Entertainment,지니뮤직,201702-201703-201704,1,0,2,1,0
Rosa,하하,Quan Ninomarley A.K.A Haha Reggae Wave,노아엔터테인먼트,카카오 M,201109,0,0,0,0,0
Rose,이하이,1집 First Love,YG Entertainment,지니뮤직,201304,1,0,1,0,0
Round and round (Feat. 한수지),헤이즈 (Heize),도깨비 OST Part 14,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,201703,0,0,0,0,0
Rumor,국.슈 (국프의 핫이슈),PRODUCE 48 - 30 Girls 6 Concepts,Stone Music Entertainment,Stone Music Entertainment,201808-201809,0,0,0,0,0
Run,넬 (Nell),투윅스 OST Part 1,스타엔트리엔터테인먼트,Sony Music,201308,0,0,0,0,0
Run,에픽하이 (Epik High),Epilogue,울림 엔터테인먼트,Stone Music Entertainment,201003,1,0,0,0,0
Run Devil Run,소녀시대,`Run Devil Run` The 2nd Album Repackag...,SM Entertainment,SM Entertainment,201003-201004,1,0,2,1,1
Run Devil Run (소녀시대),YB (윤도현 밴드),`나는 가수다` 경연 3-2 (네티즌 추천곡),아이엠비씨,카카오 M,201106,0,0,0,0,0
Run The World (Girls),Beyonce,Run The World (Girls) (Single),Sony Music,Sony Music,201105,0,0,0,0,0
Run To You,Lasse Lindh,엔젤아이즈 OST Part 1,SBS 콘텐츠허브,지니뮤직,201404,0,0,0,0,0
Run To You (Swing),레드애플(LEDApple),Run To You,스타킴엔터테인먼트,카카오 M,201207,0,0,0,0,0
SHAKE IT,씨스타 (Sistar),SHAKE IT,스타쉽엔터테인먼트,카카오 M,201506-201507-201508,1,0,2,1,0
SHAKE THAT BRASS (Feat. 태연 (소녀시대)),엠버 (AMBER),The 1st Mini Album `Beautiful`,SM Entertainment,지니뮤직,201503,0,0,0,0,0
SHE`S FINE,헤이즈 (Heize),She`s Fine,"Stone Music Entertainment, Studio blu",지니뮤직,201903-201904,1,0,0,0,0
SIGNAL,TWICE,SIGNAL,JYP Entertainment,지니뮤직,201705-201706-201707,1,0,2,1,0
SKIP,"크러쉬 (CRUSH), 한상원",SKIP,"Stone Music Entertainment, HIGHGRND",Stone Music Entertainment,201608-201609,0,0,0,0,0
SOLO,제니 (JENNIE),SOLO,YG Entertainment,지니뮤직,201811-201812-201901-201902-201903-201904,1,0,3,3,0
SOLO DAY,비원에이포 (B1A4),SOLO DAY,WM엔터테인먼트,포니캐년코리아,201407,1,0,0,0,0
SOSO,WINNER,CROSS,YG Entertainment,YG PLUS,201910-201911,0,0,0,0,0
STEP,카라 (KARA),3집 STEP,DSP미디어,Stone Music Entertainment,201109,1,0,1,1,0
STILL ALIVE,빅뱅,BigBang Special Edition `Still Alive`,YG Entertainment,지니뮤직,201206,1,0,1,1,0
STUPID LIAR,빅뱅,빅뱅 스페셜에디션,YG Entertainment,지니뮤직,201104,1,0,0,0,0
STYLE,라니아(Rania),STYLE,예당컴퍼니,카카오 M,201210,0,0,0,0,0
SUNDAY MONDAY,에이핑크 (Apink),Pink Blossom,플레이엠엔터테인먼트,카카오 M,201404,0,0,0,0,0
SUPER Clap,슈퍼주니어 (Super Junior),Time_Slip - The 9th Album,"SM Entertainment, Label SJ",Dreamus,201910,0,0,0,0,0
SUPER STAR,G-Dragon,권지용,YG Entertainment,지니뮤직,201706,1,0,0,0,0
Santa Tell Me,Ariana Grande,Santa Tell Me,"Republic Records, a division of UMG Recordings,Inc",Universal Music,201712-201912,1,0,0,0,0
Santa`s Coming For Us,Sia,Santa`s Coming For Us,"Monkey Puzzle, Atlantic",Warner Music,201912,0,0,0,0,0
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),Columbia,Sony Music,202008,0,0,0,0,0
Save (Feat. 팔로알토) (Prod. 코드 쿤스트),루피(Loopy),쇼미더머니 777 Episode 3,Stone Music Entertainment,지니뮤직,201811,1,0,0,0,0
Say,윤미래 (T),이태원 클라쓰 OST Part.8,블렌딩,블렌딩,202004,0,0,0,0,0
Say I Love You,포맨 (4Men),You,YWHO & 해피페이스 Ent.,Sony Music,201008,0,0,0,0,0
Say So,Doja Cat,Hot Pink,Kemosabe Records/RCA Records,Sony Music,202004,0,0,0,0,0
Say Yes,소녀시대,`The Boys` The 3rd Album,SM Entertainment,SM Entertainment,201110,0,0,0,0,0
Scream,2NE1 (투애니 원),2NE1 NEW ALBUM `CRUSH`,YG Entertainment,지니뮤직,201402,0,0,0,0,0
Second First Date (Feat. Ritha K) (Pro...,디제이 아키 (DJ Aki),Staytune (스테이튠),NHN벅스,NHN벅스,201001,0,0,0,0,0
Secret,에이핑크 (Apink),Pink LUV,플레이엠엔터테인먼트,카카오 M,201411-201412,0,0,0,0,0
See U Later,BLACKPINK,SQUARE UP,YG Entertainment,지니뮤직,201806,0,0,0,0,0
See You Again (Feat. 리처드 용재 오닐),백지영,미스터 션샤인 OST Part 11,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,201809,0,0,0,0,0
See You Again (폴 워커 추모 엔딩곡),"Charlie Puth, Wiz Khalifa",분노의 질주_ 더 세븐 (Fast & Furious 7) OST,Warner Music,Warner Music,201506-201705-201706-201707,0,0,0,0,0
Selfmade Orange (Feat. SUPERBEE),창모 (CHANGMO),닿는 순간,Ambition Musik,"지니뮤직, Stone Music Entertainment",202001,0,0,0,0,0
Senorita,(여자)아이들,I made,큐브엔터테인먼트,카카오 M,201903,1,0,0,0,0
Senorita,"Shawn Mendes, Camila Cabello",Senorita,"Island Records, a division of UMG Recordings, Inc.",Universal Music,201907-201908-201909-201910-201911-201912-202001-202002,1,0,0,0,0
Sex Apeal (Max Farenthide Radio Edit) ...,Bueno Clinic,Sex Apeal,스카이뮤직,NHN벅스,201112-201201,0,0,0,0,0
Sexy Lady,장우영 (2PM),"23, Male, Single",JYP Entertainment,지니뮤직,201208,0,0,0,0,0
Sexy Love,티아라 (T-ara),Mirage,코어컨텐츠미디어,카카오 M,201209-201210,1,0,1,1,0
"Sexy, Free & Single",슈퍼주니어 (Super Junior),"Sexy, Free & Single",SM Entertainment,지니뮤직,201207,1,0,0,0,0
Shadow (그림자),비스트 (Beast),"2집 Hard To Love, How To Love",큐브엔터테인먼트,Universal Music,201307-201308,1,0,0,0,0
Shake It Up!,서인국,Shake It Up!,젤리피쉬 엔터테인먼트,Universal Music,201108,1,0,0,0,0
Shampoo,애프터스쿨 (After School),1집 Virgin,플레디스,카카오 M,201105,1,1,1,1,0
Shape of You,Ed Sheeran,÷ (Deluxe),Atlantic Records UK,Warner Music,201704-201705-201706-201707-201708-201709-201710,1,1,1,0,0
She,민경훈,2집 소풍,아이에스엔터미디어그룹,카카오 M,201106,0,0,0,0,0
She (Feat. 79),투빅 (2BiC),She,넥스타엔터테인먼트,카카오 M,201311,0,0,0,0,0
She (Hidden Track No.V 1월 선정곡),잔나비,She (Hidden Track No.V 1월 선정곡),페포니 뮤직,카카오 M,201905,1,0,0,0,0
She`s Back,인피니트 (Infinite),First Invasion,울림 엔터테인먼트,Stone Music Entertainment,201008,0,0,0,0,0
She`s Gone,디셈버 (December),She`s Gone,씨에스해피엔터테인먼트,씨에스해피엔터테인먼트,201205,1,1,0,0,0
She`s a Baby,지코 (ZICO),She`s a Baby,세븐시즌스,Stone Music Entertainment,201704-201705,1,0,1,0,0
Sherlock.셜록 (Clue + Note),샤이니 (SHINee),`Sherlock` SHINee The 4th Mini Album,SM Entertainment,지니뮤직,201203-201204,1,0,1,0,0
Shine,김성규,Shine,울림 엔터테인먼트,카카오 M,201211,0,0,0,0,0
Shine Your Light,박효신,Shine Your Light,젤리피쉬 엔터테인먼트,Stone Music Entertainment,201504,1,0,1,0,0
Shock,비스트 (Beast),Shock Of The New Era,큐브엔터테인먼트,Universal Music,201003,1,0,1,0,0
Show Yourself,"Idina Menzel, Evan Rachel Wood",Frozen 2 (겨울왕국 2 OST),Walt Disney Records,Universal Music,201912-202001,1,0,0,0,0
Show! Show! Show!,소녀시대,`Run Devil Run` The 2nd Album (Repacka...,SM Entertainment,지니뮤직,201002,1,0,1,0,0
Shut Up (Feat. 유희열),언니쓰,언니들의 슬램덩크,KBS미디어,카카오 M,201607-201608,1,0,1,1,0
Sing For You,EXO,"SING FOR YOU - 겨울 스페셜 앨범, 2015",SM Entertainment,지니뮤직,201512,1,0,1,0,0
Single Ladies (Put A Ring OnIt),Beyonce,Single Ladies (Put A Ring On It) (Sing...,Sony Music,Sony Music,201002,0,0,0,0,0
Sir Duke,방예담,SBS K팝 스타 시즌2 TOP 8,SBS 콘텐츠허브,카카오 M,201303,0,0,0,0,0
Sixth Sense,브라운 아이드 걸스,Sixth Sense,내가 네트워크,카카오 M,201109-201110,1,0,1,0,0
Smile Again,WINNER,2014 S/S,YG Entertainment,지니뮤직,201408,0,0,0,0,0
Smile Boy (Rock Ver.),이승기 & 김연아,Smile Boy (Rock Ver.),후크엔터테인먼트,후크엔터테인먼트,201006,1,0,0,0,0
Snapping,청하,Flourishing,MNH Entertainment,"지니뮤직, Stone Music Entertainment",201906-201907-201908-201909,1,0,1,0,0
Snowman,Sia,Snowman,"Monkey Puzzle, Atlantic",Warner Music,201901-201912,1,0,0,0,0
So Cold,이효리,H-Logic,Stone Music Entertainment,Stone Music Entertainment,201004,0,0,0,0,0
So Cool (쏘쿨),씨스타 (Sistar),1집 So Cool,스타쉽엔터테인먼트,카카오 M,201108-201109,1,0,2,1,0
So Hot,비스트 (Beast),Time,큐브엔터테인먼트,Universal Music,201410,0,0,0,0,0
So Sick,Ne-Yo,So Sick (Single),Universal Music,Universal Music,201002,0,0,0,0,0
So What,방탄소년단,LOVE YOURSELF 轉 `Tear`,빅히트 엔터테인먼트,Dreamus,201805-201806,0,0,0,0,0
Some Things Never Change,"Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Cast of Frozen 2",Frozen 2 (겨울왕국 2 OST),Walt Disney Records,Universal Music,201911,0,0,0,0,0
Somebody,"15& (박지민, 백예린)",Somebody,JYP Entertainment,지니뮤직,201304,1,0,1,0,0
Somebody To Love,빅뱅,빅뱅 미니앨범 4집,YG Entertainment,지니뮤직,201102-201103,1,0,0,0,0
Someday,아이유 (IU),드림하이 OST,홀림,카카오 M,201101-201102,1,0,1,1,0
Someone Like You,Adele,21,XL Recordings,강앤뮤직,201901-201902-201905-201906-201907-201908-201909-201910-201911,0,0,0,0,0
Something,걸스데이 (Girl`s Day),걸스데이 미니앨범 3집,드림티 엔터테인먼트,카카오 M,201401-201402-201403,1,0,2,1,1
Something,동방신기,TVXQ! The 7th Album `TENSE`,SM Entertainment,지니뮤직,201401,1,0,1,0,0
Something Just Like This,"The Chainsmokers, Coldplay",Memories...Do Not Open,"Disruptor Records, Columbia",Sony Music,201710-201711-201712-201801-201802-201803-201901-201902-201903-201904-201905-201906-201907-201908,0,0,0,0,0
Something New,태연 (TAEYEON),Something New - The 3rd Mini Album,SM Entertainment,Dreamus,201806,0,0,0,0,0
SoulMate (Feat. 아이유),지코 (ZICO),SoulMate,세븐시즌스,Sony Music,201808-201809,1,1,1,1,0
Special,비스트 (Beast),Shock Of The New Era,큐브엔터테인먼트,Universal Music,201005,0,0,0,0,0
Special Girl (Feat. Bumkey),인피니트H,Fly High,울림 엔터테인먼트,카카오 M,201301-201302,1,0,1,0,0
Special Love,"휘성, 거미",Special Love,"YMC엔터테인먼트, C-JES엔터테인먼트",카카오 M,201312,1,1,1,1,0
Speechless (Full),Naomi Scott,Aladdin (Original Motion Picture Sound...,"Disney Enterprises,Inc.",Universal Music,201906-201907-201908-201909-201910,1,0,2,1,0
Square (2017),백예린,Every letter I sent you.,블루바이닐,Dreamus,201912-202001-202002-202003-202004,1,0,2,0,0
Stack It Up (Feat. A Boogie Wit da Hoo...,Liam Payne,Stack It Up,Capitol,Universal Music,202001-202002-202003-202004-202005-202006,0,0,0,0,0
Stand By Your Man,Carla Bruni,French Touch,Universal Music,Universal Music,201805,0,0,0,0,0
Stand Up (Intro.),X1 (엑스원),비상 _ QUANTUM LEAP,"SWING Entertainment, Stone Music Entertainment","지니뮤직, Stone Music Entertainment",201909,0,0,0,0,0
Standing In The Rain,넬 (Nell),Slip Away,울림 엔터테인먼트,카카오 M,201204,0,0,0,0,0
Starlight (Feat. DEAN),태연 (TAEYEON),Why- The 2nd Mini Album,SM Entertainment,지니뮤직,201607,1,0,0,0,0
Stay,EXO,"Universe - 겨울 스페셜 앨범, 2017",SM Entertainment,지니뮤직,201801,0,0,0,0,0
Stay,"Zedd, Alessia Cara",The Middle,Interscope Records,Universal Music,201902-201906,0,0,0,0,0
Stay,엠블랙 (MBLAQ),BLAQ Style,J.Tune Camp,Stone Music Entertainment,201101,1,0,0,0,0
Stay Tonight,청하,Stay Tonight,MNH Entertainment,"지니뮤직, Stone Music Entertainment",202005,1,0,0,0,0
Stay With Me,"찬열 (CHANYEOL), 펀치 (Punch)",도깨비 OST Part 1,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,201612-201701-201702-201703,1,0,2,1,0
Stay With Me (Feat. G-Dragon of Bigban...,태양,RISE,YG Entertainment,지니뮤직,201406,1,0,0,0,0
Sticky (Prod. by San E) (Feat. San E),나다,언프리티 랩스타 3 Track 4,Stone Music Entertainment,Stone Music Entertainment,201609,0,0,0,0,0
Stigma,방탄소년단,WINGS,빅히트 엔터테인먼트,카카오 M,201610,0,0,0,0,0
Story,박신혜,상속자들 OST Part 5,"FNC엔터테인먼트, 화앤담픽쳐스",Stone Music Entertainment,201311,0,0,0,0,0
Street Life,"김나영, 장원기",슈퍼스타K5 - 김나영 vs 장원기,Stone Music Entertainment,Stone Music Entertainment,201309,0,0,0,0,0
Stuck in love,김경희 (에이프릴세컨드),도깨비 OST Part 11,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,201701,0,0,0,0,0
Sucker,Jonas Brothers,Sucker,Jonas Brothers Recording,Universal Music,201906-201907-201908,0,0,0,0,0
Sugar,"15& (박지민, 백예린)",Sugar,JYP Entertainment,지니뮤직,201405-201406,0,0,0,0,0
Sugar,Maroon 5,V (Deluxe Edition),Interscope Records,Universal Music,201502-201504-201505-201506,1,0,0,0,0
Summer Days (Feat. Macklemore & Patric...,Martin Garrix,Summer Days,Epic Amsterdam,Sony Music,201908-201909,0,0,0,0,0
Summer Hate (Feat. 비),지코 (ZICO),RANDOM BOX,KOZ 엔터테인먼트,카카오 M,202007-202008,1,0,2,1,0
Summer Night (Remix) (Feat. Hoody),GRAY (그레이),Summer Night (Remix),AOMG,Stone Music Entertainment,201608,0,0,0,0,0
Summer Time (자리비움),다이나믹 듀오(Dynamic Duo),CustoMIC Prologue,아메바컬쳐,Stone Music Entertainment,201406,1,0,0,0,0
Sunflower (Spider-Man _ Into The Spide...,Post Malone & Swae Lee,스파이더맨 _ 뉴 유니버스 OST (Spider-Man _ Into ...,Universal Music,Universal Music,201902-201903-201904-201905-201906-201907-201908-201909,0,0,0,0,0
Sunshine,레인보우 (Rainbow),Rainbow Syndrome Part 2,DSP미디어,카카오 M,201306,1,0,0,0,0
Supa Dupa Diva,Dal★Shabet (달샤벳),Supa Dupa Diva (1st Mini Album),해피페이스 엔터테인먼트,Sony Music,201101,1,0,0,0,0
Supalonely (Feat. Gus Dapperton),BENEE,STELLA & STEVE,Republic Records,Universal Music,202006-202007-202008,0,0,0,0,0
Super Girl,"김연아, 씨스타, 일렉트로보이즈",슈퍼 걸 (Super Girl),제일기획,카카오 M,201012,0,0,0,0,0
Super Star,"효린, 지연, 에일리",드림하이 2 OST Part 4,홀림,카카오 M,201203,0,0,0,0,0
Superstar,태양,Solar,YG Entertainment,Stone Music Entertainment,201007,0,0,0,0,0
Superstar,포미닛 (4minute),Superstar,Stone Music Entertainment,Stone Music Entertainment,201008,0,0,0,0,0
Sweet Delight (East4A QM Mix) (Radio E...,Jessica (제시카),Sweet Delight,SPC Music & SM Entertainment,카카오 M,201010,0,0,0,0,0
Sweet Dream,"MFBTY (윤미래, 타이거JK, Bizzy)",Sweet Dream,정글엔터테인먼트,Stone Music Entertainment,201302,0,0,0,0,0
Sweet Holiday,씨엔블루 (CNBLUE),Bluelove (EP),FNC엔터테인먼트,Stone Music Entertainment,201006,0,0,0,0,0
Sweet Lies,EXO,The Power Of Music - The 4th Album Rep...,SM Entertainment,지니뮤직,201709,0,0,0,0,0
Sweet Love (Feat. 라임버스),별,Taste Of Love,노트뮤직,NHN벅스,201003,0,0,0,0,0
Sweet Night,V,이태원 클라쓰 OST Part.12,블렌딩,블렌딩,202003,1,0,0,0,0
Sweetest Name,클래지콰이 (Clazziquai),5집 Blessed,플럭서스,예당컴퍼니,201302,0,0,0,0,0
Swing Baby,울랄라세션,슈퍼스타K3 TOP 11 Part 6,Stone Music Entertainment,Stone Music Entertainment,201111,1,0,0,0,0
T4SA (Prod. by MC메타),"지민, MC 메타, 넋업샨(Nuck)",언프리티 랩스타 Track 4,Stone Music Entertainment,Stone Music Entertainment,201503,0,0,0,0,0
TENDER LOVE,EXO,LOVE ME RIGHT - The 2nd Album Repackag...,SM Entertainment,지니뮤직,201506,1,0,0,0,0
THANK U VERY MUCH,베스티(BESTie),베스티 세번째 디지털싱글,YNB Entertainment,카카오 M,201403,0,0,0,0,0
TMI,GRAY (그레이),TMI,AOMG,Stone Music Entertainment,201905,0,0,0,0,0
TOMBOY,혁오 (hyukoh),23,"두루두루AMC, HIGHGRND",지니뮤직,201705,1,0,1,0,0
TOUCH,신화,13TH UNCHANGING - TOUCH,신화컴퍼니,Stone Music Entertainment,201701,1,0,0,0,0
TT,TWICE,TWICEcoaster _ LANE 1,JYP Entertainment,지니뮤직,201610-201611-201612-201701-201702-201703,1,0,3,1,1
"TV를 껐네...  (Feat. 윤미래, 권정열)",리쌍,7집 AsuRa BalBalTa,정글엔터테인먼트,카카오 M,201108-201109,1,0,2,2,1
Take,서인국,Take,지니뮤직,지니뮤직,201011,0,0,0,0,0
Take A Bow,Rihanna,Take A Bow (Maxi Single),Universal Music,Universal Music,201002,0,0,0,0,0
Take Me To Church,Hozier,Hozier (Deluxe Edition),Rubyworks Limited,Universal Music,201503,0,0,0,0,0
Talk,10cm,1집 1.0,10cm,미러볼뮤직,201102,0,0,0,0,0
Talk,"Khalid, Disclosure",Talk,"Right Hand Music Group, LLC/RCA Records",Sony Music,201905-201910-201911-201912-202001-202002-202003,0,0,0,0,0
Talk That,시크릿 (Secret),Talk That,TS엔터테인먼트,카카오 M,201212-201301,1,0,1,0,0
Tango,Abir,MINT,"Fez`s Finest, LLC",Warner Music,202006-202007,0,0,0,0,0
Taste,볼빨간사춘기,Two Five,쇼파르뮤직,카카오 M,201910,0,0,0,0,0
Tears Fallin`,김보아 (스피카),"그 겨울, 바람이 분다 OST Part 4",골든썸,카카오 M,201303,0,0,0,0,0
Telephone (Feat. Beyonce),Lady GaGa,The Fame Monster,Universal Music,Universal Music,201003-201004,0,0,0,0,0
Tell Me,인피니트 (Infinite),TOP SEED,울림 엔터테인먼트,카카오 M,201802,0,0,0,0,0
Tell Me If You Wanna Go Home,Keira Knightley,영화 Begin Again OST,Interscope Records,Universal Music,201409,1,0,0,0,0
Tell Me Tell Me,레인보우 (Rainbow),1집 Rainbow Syndrome,DSP미디어,Stone Music Entertainment,201302-201303,1,0,0,0,0
Tell Me Why,투하트 (우현&키),1st Mini Album,"에스엠컬처앤콘텐츠레이블울림, SM엔터테인먼트",카카오 M,201403,0,0,0,0,0
Tell me,더 씨야 (The Seeya),Love is,코어컨텐츠미디어,지니뮤직,201401,0,0,0,0,0
Tell me why (Broadcasting Ver.),투하트,Tell me why,"에스엠컬처앤콘텐츠레이블울림, SM엔터테인먼트",카카오 M,201404,0,0,0,0,0
Tempo,EXO,DON`T MESS UP MY TEMPO - The 5th Album,SM Entertainment,Dreamus,201811-201812-201901,1,0,1,0,0
Thank U For,XIA(준수),Thank U For,씨제스엔터테인먼트,에이앤지모즈,201212,0,0,0,0,0
Thank You,성시경,처음,젤리피쉬 엔터테인먼트,카카오 M,201109,0,0,0,0,0
Thank You,포맨 (4Men),Thank You,YWHO & 해피페이스 Ent.,카카오 M,201305,0,0,0,0,0
Thanks To,"용준형, 양요섭",My Story,큐브엔터테인먼트,Universal Music,201012,0,0,0,0,0
The Bad Touch (Gordon & Doyle Edit),DJ Gollum Vs. EmpyreOne,The Bad Touch (Single),프로비트뮤직컴퍼니,Sony Music,201308-201309,0,0,0,0,0
The Boys,소녀시대,`The Boys` The 3rd Album,SM Entertainment,SM Entertainment,201110-201111,1,0,1,1,0
The DJ Is Mine,원더걸스 (Wonder Girls),The DJ Is Mine,JYP Entertainment,지니뮤직,201201,1,0,0,0,0
The Day,지아(Zia),기황후 OST Part 6,이김프로덕션,카카오 M,201403,0,0,0,0,0
The Dreamer (I am A Dreamer),박효신,I am A Dreamer,글러브엔터테인먼트,카카오 M,201610,0,0,0,0,0
The Ending,넬 (Nell),Slip Away,울림 엔터테인먼트,카카오 M,201204,0,0,0,0,0
The Fox,Ylvis,The Fox,WM Norway,Warner Music,201310,0,0,0,0,0
The Ocean (Feat. Shy Martin) (Radio Ed...,Mike Perry,The Ocean (Radio Edit),DF Records,Sony Music,201901-201902-201903-201905-201906-201907-201908,0,0,0,0,0
The One,EXO-CBX (첸백시),Hey Mama! - The 1st Mini Album,SM Entertainment,지니뮤직,201611,0,0,0,0,0
